LID,FORECLOSED
794000000000.0,False
277000000000.0,False
507000000000.0,False
493000000000.0,False
843000000000.0,False
241000000000.0,False
279000000000.0,False
228000000000.0,False
617000000000.0,False
375000000000.0,False
698000000000.0,False
461000000000.0,False
312000000000.0,False
820000000000.0,False
141000000000.0,False
456000000000.0,False
697000000000.0,False
682000000000.0,False
622000000000.0,False
997000000000.0,False
301000000000.0,False
660000000000.0,False
984000000000.0,False
817000000000.0,False
692000000000.0,False
422000000000.0,False
926000000000.0,False
346000000000.0,False
436000000000.0,False
518000000000.0,False
869000000000.0,False
146000000000.0,False
348000000000.0,False
298000000000.0,False
949000000000.0,False
385000000000.0,False
388000000000.0,False
455000000000.0,False
475000000000.0,False
273000000000.0,False
380000000000.0,False
675000000000.0,False
123000000000.0,False
492000000000.0,False
244000000000.0,False
913000000000.0,False
850000000000.0,False
297000000000.0,False
679000000000.0,False
483000000000.0,False
417000000000.0,False
849000000000.0,False
934000000000.0,False
651000000000.0,False
960000000000.0,False
689000000000.0,False
356000000000.0,False
437000000000.0,False
614000000000.0,False
512000000000.0,False
222000000000.0,False
333000000000.0,False
728000000000.0,False
255000000000.0,False
689000000000.0,False
586000000000.0,False
261000000000.0,False
158000000000.0,False
127000000000.0,False
388000000000.0,False
554000000000.0,False
638000000000.0,False
138000000000.0,False
524000000000.0,False
696000000000.0,False
860000000000.0,False
270000000000.0,False
693000000000.0,False
452000000000.0,False
254000000000.0,False
588000000000.0,False
476000000000.0,False
932000000000.0,False
768000000000.0,False
349000000000.0,False
442000000000.0,False
764000000000.0,False
329000000000.0,False
488000000000.0,False
377000000000.0,False
225000000000.0,False
478000000000.0,False
838000000000.0,False
638000000000.0,False
419000000000.0,False
427000000000.0,False
206000000000.0,False
390000000000.0,False
274000000000.0,False
157000000000.0,False
307000000000.0,False
204000000000.0,False
624000000000.0,False
971000000000.0,False
923000000000.0,False
472000000000.0,False
779000000000.0,False
964000000000.0,False
827000000000.0,False
491000000000.0,False
427000000000.0,False
397000000000.0,False
378000000000.0,False
813000000000.0,False
259000000000.0,False
274000000000.0,False
495000000000.0,False
468000000000.0,False
903000000000.0,False
444000000000.0,False
465000000000.0,False
125000000000.0,False
764000000000.0,False
804000000000.0,False
926000000000.0,False
369000000000.0,False
604000000000.0,False
659000000000.0,False
434000000000.0,False
441000000000.0,False
724000000000.0,False
193000000000.0,False
761000000000.0,False
247000000000.0,False
641000000000.0,False
703000000000.0,False
994000000000.0,False
109000000000.0,False
601000000000.0,False
382000000000.0,False
981000000000.0,False
998000000000.0,False
299000000000.0,False
977000000000.0,False
195000000000.0,False
918000000000.0,False
817000000000.0,False
675000000000.0,False
746000000000.0,False
436000000000.0,False
780000000000.0,False
904000000000.0,False
547000000000.0,False
626000000000.0,False
461000000000.0,False
590000000000.0,False
291000000000.0,False
900000000000.0,False
427000000000.0,False
403000000000.0,False
617000000000.0,False
312000000000.0,False
693000000000.0,False
546000000000.0,False
406000000000.0,False
647000000000.0,False
105000000000.0,False
290000000000.0,False
273000000000.0,False
784000000000.0,False
813000000000.0,False
943000000000.0,False
582000000000.0,False
284000000000.0,False
184000000000.0,False
826000000000.0,False
393000000000.0,False
653000000000.0,False
366000000000.0,False
826000000000.0,False
979000000000.0,False
987000000000.0,False
992000000000.0,False
141000000000.0,False
785000000000.0,False
472000000000.0,False
859000000000.0,False
820000000000.0,False
838000000000.0,False
852000000000.0,False
821000000000.0,False
209000000000.0,False
290000000000.0,False
562000000000.0,False
352000000000.0,False
663000000000.0,False
595000000000.0,False
801000000000.0,False
644000000000.0,False
734000000000.0,False
953000000000.0,False
484000000000.0,False
749000000000.0,False
176000000000.0,False
957000000000.0,False
746000000000.0,False
642000000000.0,False
235000000000.0,False
615000000000.0,False
692000000000.0,False
196000000000.0,False
481000000000.0,False
891000000000.0,False
970000000000.0,False
341000000000.0,False
758000000000.0,False
838000000000.0,False
778000000000.0,False
668000000000.0,False
537000000000.0,False
376000000000.0,False
334000000000.0,False
472000000000.0,False
526000000000.0,False
623000000000.0,False
713000000000.0,False
937000000000.0,False
309000000000.0,False
122000000000.0,False
256000000000.0,False
980000000000.0,False
988000000000.0,False
725000000000.0,False
476000000000.0,False
294000000000.0,False
198000000000.0,False
488000000000.0,False
966000000000.0,False
876000000000.0,False
222000000000.0,False
309000000000.0,False
434000000000.0,False
102000000000.0,False
261000000000.0,False
218000000000.0,False
902000000000.0,False
827000000000.0,False
793000000000.0,False
261000000000.0,False
995000000000.0,False
263000000000.0,False
230000000000.0,False
269000000000.0,False
502000000000.0,False
125000000000.0,False
955000000000.0,False
919000000000.0,False
806000000000.0,False
768000000000.0,False
636000000000.0,False
215000000000.0,False
283000000000.0,False
746000000000.0,False
187000000000.0,False
903000000000.0,False
803000000000.0,False
623000000000.0,False
618000000000.0,False
123000000000.0,False
500000000000.0,False
730000000000.0,False
129000000000.0,False
539000000000.0,False
870000000000.0,False
481000000000.0,False
403000000000.0,False
485000000000.0,False
379000000000.0,False
449000000000.0,False
557000000000.0,False
464000000000.0,False
816000000000.0,False
793000000000.0,False
836000000000.0,False
582000000000.0,False
440000000000.0,False
678000000000.0,False
125000000000.0,False
286000000000.0,False
574000000000.0,False
609000000000.0,False
225000000000.0,False
521000000000.0,False
142000000000.0,False
639000000000.0,False
866000000000.0,False
915000000000.0,False
477000000000.0,False
727000000000.0,False
301000000000.0,False
944000000000.0,False
486000000000.0,False
184000000000.0,False
465000000000.0,False
715000000000.0,False
477000000000.0,False
214000000000.0,False
409000000000.0,False
414000000000.0,False
931000000000.0,False
774000000000.0,False
211000000000.0,False
521000000000.0,False
389000000000.0,False
682000000000.0,False
901000000000.0,False
940000000000.0,False
779000000000.0,False
672000000000.0,False
469000000000.0,False
193000000000.0,False
275000000000.0,False
848000000000.0,False
794000000000.0,False
432000000000.0,False
692000000000.0,False
882000000000.0,False
601000000000.0,False
748000000000.0,False
928000000000.0,False
468000000000.0,False
287000000000.0,False
562000000000.0,False
566000000000.0,False
350000000000.0,False
230000000000.0,False
637000000000.0,False
687000000000.0,False
420000000000.0,False
606000000000.0,False
367000000000.0,True
208000000000.0,False
994000000000.0,False
746000000000.0,False
680000000000.0,False
497000000000.0,False
631000000000.0,False
321000000000.0,False
787000000000.0,False
895000000000.0,False
337000000000.0,False
367000000000.0,False
412000000000.0,False
589000000000.0,False
812000000000.0,False
788000000000.0,False
218000000000.0,False
138000000000.0,False
799000000000.0,False
904000000000.0,False
902000000000.0,False
946000000000.0,False
176000000000.0,False
734000000000.0,False
606000000000.0,True
487000000000.0,False
455000000000.0,False
309000000000.0,False
181000000000.0,False
863000000000.0,False
389000000000.0,False
691000000000.0,False
854000000000.0,False
195000000000.0,False
868000000000.0,False
961000000000.0,False
334000000000.0,False
644000000000.0,False
173000000000.0,False
453000000000.0,False
187000000000.0,False
242000000000.0,False
188000000000.0,False
605000000000.0,False
494000000000.0,False
111000000000.0,False
600000000000.0,False
784000000000.0,False
135000000000.0,False
876000000000.0,False
742000000000.0,False
807000000000.0,False
653000000000.0,False
390000000000.0,False
351000000000.0,False
788000000000.0,False
579000000000.0,False
488000000000.0,False
187000000000.0,False
502000000000.0,False
955000000000.0,False
282000000000.0,False
442000000000.0,False
882000000000.0,False
115000000000.0,False
944000000000.0,False
159000000000.0,False
644000000000.0,False
679000000000.0,False
560000000000.0,False
438000000000.0,False
953000000000.0,False
707000000000.0,False
287000000000.0,False
489000000000.0,False
877000000000.0,False
723000000000.0,False
308000000000.0,False
430000000000.0,False
194000000000.0,False
143000000000.0,False
573000000000.0,False
985000000000.0,False
391000000000.0,False
636000000000.0,False
758000000000.0,False
246000000000.0,False
949000000000.0,False
829000000000.0,False
342000000000.0,False
656000000000.0,False
125000000000.0,False
186000000000.0,False
822000000000.0,False
480000000000.0,False
105000000000.0,False
430000000000.0,False
221000000000.0,False
436000000000.0,False
